name,net_worth
Ciro Spadafora,111622.0
Geronimo Guidone,109578.0
Nina Oliboni,109319.0
Ippazio Barillaro,107299.0
Cesare Tron,105732.0
Toni Platini,104803.0
Alessandra Travia,104200.0
Vito Modigliani,100953.0
Dina Saragat,98191.0
Margherita Armellini,97320.0
Dott. Osvaldo Nitto,96560.0
Olga Antonacci-Meucci,94122.0
Margherita Beccheria,92002.0
Sig. Ottavio Mancini,91609.0
Nino Zetticci,90268.0
Annetta Capecchi,89983.0
Carolina Caffarelli,89926.0
Donna Balotelli,89048.0
Lodovico Gagliano,88352.0
Berenice Sbarbaro,86284.0
Marta Biagiotti,85701.0
Fabia Gargallo,85354.0
Dott. Oreste Vento,85347.0
Sabatino Esposito,83959.0
Giampaolo Cuomo,83134.0
Zaira Santoro-Angiolello,81980.0
Elvira Bonomo-Bonanno,81231.0
Cassandra Caccioppoli,79984.0
Gianpietro Fuseli-Letta,79737.0
Stefano Paganini,79464.0
Sig.ra Stefania Pininfarina,78994.0
Flora Salieri,78772.0
Bianca Travaglia,77654.0
Ubaldo Vecoli,77639.0
Liana Giovine-Piazzi,77118.0
Tina Bragaglia,76355.0
Marissa Capuana,76280.0
Dott. Renzo Marenzio,76124.0
Paulina Cattaneo,75994.0
Gian Pavanello,75991.0
Federigo Ajello-Tozzo,75897.0
Sig.ra Allegra Soffici,74295.0
Dott. Leone Babbo,74144.0
Sig.ra Letizia Gadda,73507.0
Fortunata Giammusso,73424.0
Gastone Gregorio,73127.0
Adele Antelami,70996.0
Donato Mondaini,70486.0
Dionigi Marsili,70483.0
Giovanna Badoer,70125.0
Pomponio Persico,69187.0
Raffaella Pigafetta-Rossellini,68495.0
Patrizia Littizzetto,66960.0
Giorgia Valmarana,66909.0
Sandro Soprano,66775.0
Diana Querini-Bellocchio,66641.0
Dott. Zaira Casalodi,66215.0
Luchino Pontecorvo-Perini,66040.0
Beatrice Pellico,65050.0
Dott. Luisa Giacometti,64889.0
Adele Sauli,64783.0
Alberto Nordio,63002.0
Greco Collina,62972.0
Dina Mazzacurati,62179.0
Sig. Puccio Barracco,62157.0
Dott. Roman Avogadro,61588.0
Sig. Stefano Ciani,60575.0
Licia Zoppetti,59564.0
Donatello Tarantino-Salvini,59454.0
Dott. Marissa Pace,58458.0
Pierangelo Serlupi,57843.0
Torquato Morpurgo,57650.0
Giuliana Germano,57255.0
Griselda Cagnotto,57202.0
Flavio Udinese,57186.0
Dario Pederiva,57029.0
Napoleone Boccherini,56938.0
Giampiero Abba,56146.0
Martino Gulotta,55634.0
Flora Varano,55086.0
Giada Mastroianni,54907.0
Sig. Ottone Argentero,54780.0
Carolina Roncalli,53984.0
Simonetta Mennea,53627.0
Giovanni Calbo,53256.0
Jacopo Bignardi,53216.0
Caterina Cimini,53109.0
Emma Inzaghi,52964.0
Giovanni Offredi,52570.0
Bernardo Cipolla,52529.0
Dott. Victoria Bazzi,52115.0
Alessandro Barcaccia,51971.0
Nicolò Rastelli,51891.0
Lucrezia Armellini,51549.0
Ermanno Toninelli,51474.0
Clelia Stucchi,50995.0
Michele Borromeo,50793.0
Dott. Alina Bonino,50783.0
Dott. Michelotto Morucci,50432.0
Lando Ferrazzi,49592.0
Imelda Pisani,49413.0
Marco Cutuli,49225.0
Sabatino Villarosa-Donarelli,49122.0
Vincenza Cherubini,49094.0
Allegra Ruggieri,48677.0
Girolamo Cianciolo,48560.0
Daria Vitturi-Grimani,48384.0
Sig.ra Giulia Accardo,48131.0
Paulina Pacetti,47907.0
Sig.ra Paola Finzi,47687.0
Bettina Cantimori,47671.0
Olga Donarelli-Scarlatti,47144.0
Eliana Borromeo,47095.0
Renata Cantimori-Canil,47002.0
Cristina Beccheria,46895.0
Serena Casini,46696.0
Gabriella Lucchesi,46230.0
Venancio Tremonti,46216.0
Federigo Cainero,46141.0
Concetta Ligorio,45883.0
Dante Mazzocchi,45583.0
Livia Zaccagnini-Iannelli,45297.0
Nico Pennetta,45260.0
Adelmo Maffei-Rismondo,45238.0
Lucrezia Spanevello,45216.0
Salvatore Sgarbi,43911.0
Antonino Nicoletti,43901.0
Tonino Faugno,43566.0
Beppe Vismara,43267.0
Federigo Cherubini,43254.0
Adelmo Camanni,43138.0
Alberto Biagiotti,43117.0
Dario Tuzzolino-Mancini,43074.0
Santino Gasperi,42948.0
Dott. Alfio Andreotti,42905.0
Lucia Calgari-Maspero,42800.0
Antonia Borghese,42768.0
Daria Salvini,42724.0
Sig. Emilio Trevisan,42644.0
Flora Polani,42148.0
Raffaele Novaro,42086.0
Dott. Lina Angeli,41828.0
Isabella Casale,41468.0
Sig.ra Liana Casarin,41233.0
Germana Borroni,41210.0
Erika Aulenti,41148.0
Patrizio Missoni,41015.0
Melissa Fagiani,40939.0
Graziano Renier,40296.0
Enrico Castelli,40002.0
Orazio Giannotti,39912.0
Francesco Pizzamano,39740.0
Alessandra Farina-Saffi,39628.0
Michela Montanari,39584.0
Lina Pugliese,39565.0
Pier Bernini-Falloppio,39546.0
Victoria Cagnin-Ottino,39532.0
Adriana Martucci,39265.0
Romolo Verdone,38781.0
Bianca Trapani-Saffi,38490.0
Cecilia Bassi,38248.0
Ezio Costalonga,38002.0
Pierina Roncalli,38000.0
Luciano Polizzi,37863.0
Sig. Piergiuseppe Zamorani,37851.0
Melina Iannotti,37756.0
Ida Rapisardi-Bottaro,37756.0
Gionata Stefanelli,37265.0
Zaira Valentino,37182.0
Martino Ioppi,37159.0
Griselda Soprano,36885.0
Sig. Vito Nitti,36761.0
Dott. Irma Borrani,36569.0
Roman Ritacca,36545.0
Maria Fischetti,36400.0
Fabrizia Golgi,36374.0
Sig. Lucio Roccabonella,36353.0
Nedda Cagnotto,36286.0
Mauro Romiti,35685.0
Gioachino Barillaro,35493.0
Nico Abatantuono,35421.0
Alfredo Maderna,35367.0
Livia Tasso-Esposito,35124.0
Marco Mercati,35099.0
Sig. Gioele Ferragni,34973.0
Adelasia Giannone,34908.0
Gianni Ruffini,34683.0
Dott. Angelina Schiavo,34227.0
Durante Schiaparelli,34073.0
Stella Niscoromni,34043.0
Federica Milanesi,33963.0
Cirillo Cugia,33922.0
Dario Casellati,33917.0
Sig. Mariano Tomasetti,33887.0
Dott. Orlando Brichese,33525.0
Emma Ruggieri,33345.0
Daniele Cuomo,33201.0
Eleanora Viviani-Palazzo,33070.0
Delfino Leone,33045.0
Massimiliano Garibaldi,32908.0
Pierina Sobrero,32860.0
Giustino Lettiere,32852.0
Iolanda Abatantuono,32846.0
Dott. Mirko Golino,32690.0
Azeglio Doria,32500.0
Milo Maggioli,32369.0
Marisa Balbi,32325.0
Ugolino Bonaventura,32215.0
Paulina Busoni,32197.0
Dott. Pietro Mocenigo,31962.0
Alessia Cannizzaro,31957.0
Erika Marangoni,31901.0
Donato Puglisi,31901.0
Vanessa Ferrante,31858.0
Imelda Dallara,31551.0
Liana Cheda,31550.0
Dott. Riccardo Renzi,31499.0
Sig.ra Vittoria Marangoni,31474.0
Puccio Branciforte,31456.0
Piergiuseppe Falier,31412.0
Ramona Torricelli,31227.0
Martino Leone,31088.0
Alessandra Mazzi,31037.0
Francesca Sordi,31019.0
Giovanni Morellato,30959.0
Adriano Almagià,30921.0
Victoria Palumbo-Chindamo,30899.0
Fiorino Marzorati,30877.0
Monica Buscetta,30765.0
Rita Brenna,30597.0
Sig. Costantino Ziani,30506.0
Lucrezia Borromini,30382.0
Bianca Zabarella-Detti,30197.0
Ettore Mazzini,30166.0
Gaetano Grasso,29979.0
Tonia Franceschi,29739.0
Serafina Capone-Piccinni,29619.0
Napoleone Parini,29600.0
Sig.ra Sylvia Bonolis,29369.0
Marcantonio Mercati,29232.0
Bettina Martinelli,29162.0
Gaetano Lercari,29089.0
Dott. Goffredo Orengo,28944.0
Adele Ruffini-Querini,28895.0
Sig.ra Alessandra Torricelli,28811.0
Benedetto Trincavelli,28797.0
Berenice Petrocelli,28720.0
Claudio Panatta-Rocca,28631.0
Matteo Prati,28541.0
Marcello Varano,28490.0
Dott. Rosalia Trentin,28382.0
Dott. Gabriele Pizzo,28365.0
Stefani Buscetta,28350.0
Sig. Mariano Mantegazza,28343.0
Sebastiano Fagiani,28287.0
Orlando Luria,28233.0
Dott. Rosa Broggini,28205.0
Gino Trentin,28188.0
Panfilo Amaldi-Pavone,28177.0
Lina Lopresti,27927.0
Arnaldo Caccioppoli,27739.0
Calcedonio Giannone,27642.0
Achille Gramsci,27530.0
Fiorino Niscoromni,27509.0
Griselda Borgia-Gioberti,27341.0
Orazio Novaro,27230.0
Ronaldo Ferretti,27118.0
Ruggiero Fogazzaro-Raimondi,27110.0
Gaspare Rapisardi,27109.0
Ramona Mattarella,27096.0
Flavia Pirelli,27067.0
Sig. Panfilo Procacci,27038.0
Serafina Buonauro,26870.0
Marco Carosone,26857.0
Guido Tosi-Lancisi,26809.0
Chiara Tirabassi-Riccardi,26776.0
Simonetta Gussoni,26750.0
Osvaldo Guicciardini,26682.0
Pier Antonucci-Tonisto,26651.0
Nicoletta Migliaccio,26649.0
Giovanna Cuomo,26451.0
Dott. Gino Cundari,26411.0
Dott. Michelotto Favata,26361.0
Piergiorgio Cocci,26214.0
Dott. Rembrandt Oliboni,26187.0
Dott. Nadia Babati,26122.0
Sylvia Spadafora,26100.0
Ermes Marconi,26028.0
Elvira Valentino,25951.0
Gianfrancesco Marazzi-Ceci,25794.0
Margherita Crespi,25757.0
Micheletto Borrani,25757.0
Ferdinando Zecchini,25535.0
Arnaldo Bruno,25473.0
Dott. Isa Miniati,25453.0
Alderano Bosurgi,25449.0
Sig.ra Liliana Cherubini,25316.0
Gloria Scamarcio,25299.0
Francesca Sgarbi,25178.0
Dionigi Brichese,25006.0
Lolita Vergassola-Pavarotti,24940.0
Sig. Osvaldo Bersani,24870.0
Giorgio Liverotti,24787.0
Agnolo Falloppio-Pontecorvo,24701.0
Luciana Cundari,24517.0
Antonello Mazzeo,24511.0
Ludovica Stucchi,24507.0
Etta Germano,24506.0
Gemma Pavone,24411.0
Sandra Longhena,24387.0
Pierangelo Boito,24370.0
Dott. Temistocle Costanzi,24369.0
Sig.ra Vincenza Boaga,24343.0
Domenico Murri-Civaschi,24312.0
Daniele Mattarella,24284.0
Giacobbe Raimondi-Bernini,24215.0
Mattia Zarlino-Donà,24203.0
Dott. Giuseppina Villadicani,24193.0
Concetta Montanari,24161.0
Paoletta Palombi,24052.0
Tonino Benedetti,23923.0
Anita Argurio,23872.0
Anita Druso,23829.0
Giada Pignatti-Grisoni,23737.0
Lodovico Brichese-Tarchetti,23589.0
Eugenia Gianetti,23564.0
Giosuè Bataglia,23555.0
Veronica Conte,23545.0
Sig. Pompeo Turci,23510.0
Armando Ferrara,23470.0
Valerio Lovato,23247.0
Monica Anastasi,23208.0
Dott. Maura Bellocchio,23203.0
Beppe Favata,23181.0
Annalisa Pirelli-Carocci,23154.0
Virginia Iacobucci-Morucci,23121.0
Luigi Biagi,23092.0
Amleto Castellitto,23036.0
Lilla Priuli,22910.0
Donatella Aporti-Zetticci,22875.0
Simone Antonacci,22845.0
Greca Mazzeo,22814.0
Eliana Bellini,22771.0
Giuliana Pisani,22730.0
Renzo Calvo,22669.0
Morena Trombetta,22664.0
Gelsomina Galtarossa,22617.0
Letizia Brambilla-Comolli,22585.0
Sig.ra Claudia Bottigliero,22539.0
Melissa Norbiato-Naccari,22507.0
Rosina Simeoni,22493.0
Milo Contarini-Bragadin,22407.0
Ettore Lippomano,22322.0
Dott. Enrico Garobbio,22317.0
Piergiuseppe Cicala-Stradivari,22281.0
Dott. Alderano Badoer,22263.0
Raffaele Guicciardini,22254.0
Alessia Polesel-Leopardi,22086.0
Donatello Carpaccio,22081.0
Sig.ra Natalia Montanelli,22056.0
Agostino Marconi,21979.0
Giacomo Ferragamo,21920.0
Teresa Mastandrea-Giovine,21916.0
Maria Agostini-Verdone,21701.0
Daria Vespucci,21653.0
Napoleone Adinolfi,21589.0
Pierpaolo Conte,21577.0
Gianni Garobbio,21532.0
Rosa Baroffio,21470.0
Serafina Ginesio,21465.0
Clelia Gaito,21460.0
Baccio Pavarotti,21448.0
Giuliana Odescalchi,21435.0
Fredo Gagliardi,21425.0
Sig.ra Marina Maspero,21300.0
Letizia Tagliafierro,21238.0
Lucio Venier,21226.0
Ettore Jacuzzi-Gatto,21209.0
Sig. Fredo Salvo,21198.0
Enzio Monte,21169.0
Gianluigi Fibonacci,21122.0
Anita Lopresti,21096.0
Durante Panatta,21087.0
Pellegrino Lombardo,21028.0
Bettina Malatesta,20961.0
Luisa Tiepolo-Prada,20863.0
Rolando Tresoldi,20839.0
Sergius Aldobrandi-Zecchini,20798.0
Augusto Brenna,20729.0
Dott. Calogero Mennea,20655.0
Oreste Cilea,20618.0
Dario Fallaci,20581.0
Rolando Vercelloni,20489.0
Dott. Concetta Lollobrigida,20467.0
Dott. Adamo Agazzi,20453.0
Dott. Raffaele Longhena,20445.0
Eliana Tosto,20412.0
Dott. Romina Bellocchio,19990.0
Imelda Cavalcanti,19974.0
Lina Majorana,19921.0
Dott. Concetta Pizziol,19884.0
Griselda Tartaglia,19867.0
Bartolomeo Guidotti-Tasca,19846.0
Martino Benussi,19793.0
Bruno Salata,19769.0
Dott. Atenulf Canetta,19763.0
Stefano Visconti,19722.0
Lisa Solari,19722.0
Mirko Trobbiani,19632.0
Gioffre Innocenti,19550.0
Rocco Spinelli,19534.0
Michelotto Littizzetto,19500.0
Raffaella Pontecorvo,19498.0
Ippazio Carpaccio,19477.0
Sig.ra Berenice Ruberto,19338.0
Flora Trevisan,19336.0
Eugenia Lamborghini,19241.0
Giustino Broschi,19236.0
Gaetano Mondaini-Barozzi,19146.0
Vito Brugnaro-Martucci,19102.0
Santino Micca-Anguillara,19099.0
Sig.ra Monica Branciforte,19061.0
Guglielmo Scarponi,19032.0
Vito Blasi,18988.0
Rembrandt Ramazzotti,18966.0
Dott. Paolo Gramsci,18948.0
Germana Gramsci,18938.0
Sig.ra Michela Lerner,18914.0
Uberto Salgari,18865.0
Alessio Nitti,18815.0
Caterina Catenazzi,18812.0
Barbara Jacuzzi,18788.0
Dott. Victoria Carullo,18786.0
Roman Boezio-Verdone,18781.0
Livia Scamarcio,18764.0
Paulina Trapanese,18756.0
Ottone Comolli,18733.0
Lodovico Fogazzaro,18623.0
Camilla Giannuzzi,18615.0
Sig. Rembrandt Caetani,18610.0
Mercedes Carriera,18567.0
Marcella Casarin,18545.0
Sig.ra Flavia Blasi,18501.0
Fabrizia Zichichi,18431.0
Erika Smirnoff,18428.0
Mario Rusticucci,18415.0
Achille Antonetti,18332.0
Roberta Medici,18321.0
Antonello Manolesso-Cendron,18311.0
Sig. Ivan Coppola,18308.0
Amleto Ziani,18281.0
Germana Rismondo-Storladi,18240.0
Luca Chiesa,18221.0
Sig. Gino Interiano,18210.0
Costanzo Ottino,18199.0
Silvio Badoglio,18184.0
Griselda Garobbio,18137.0
Giustino Argento,18086.0
Dott. Victoria Trezzini,17993.0
Ugo Veltroni,17975.0
Rosario Berengario,17968.0
Francesco Tagliafierro,17924.0
Simonetta Nordio,17865.0
Ansaldo Tamborini-Bosio,17814.0
Giada Anastasi,17808.0
Jacopo Polesel,17789.0
Sig.ra Valeria Ferrabosco,17784.0
Imelda Tommaseo,17752.0
Tatiana Vittadello,17737.0
Giuseppe Storladi,17727.0
Matteo Germano,17712.0
Greca Alboni-Ginesio,17655.0
Guido Ossani-Malenchini,17648.0
Greca Trebbi,17648.0
Germana Pavarotti,17619.0
Sig.ra Romina Bembo,17576.0
Roman Mennea,17526.0
Francesca Ferraris,17503.0
Ivo Soderini,17491.0
Donatello Piacentini,17441.0
Fiamma Doria,17418.0
Sophia Rosselli,17335.0
Piero Marenzio,17256.0
Anita Gianvecchio,17186.0
Antonino Samele,17180.0
Sig. Patrizio Beccheria,17174.0
Sig. Ottone Ciampi,17172.0
Dott. Giacobbe Mascagni,17009.0
Tiziana Pace,17004.0
Francesco Flaiano,16978.0
Francesca Anguissola,16938.0
Baldassare Spinelli-Bonomo,16930.0
Lisa Catalano,16870.0
Coluccio Bettoni-Santi,16856.0
Nino Tasso,16848.0
Alberico Niggli,16801.0
Loredana Scotti,16793.0
Lolita Giusti-Cavanna,16786.0
Sophia Conte-Modigliani,16778.0
Tina Marzorati,16736.0
Ansaldo Boaga,16536.0
Cristina Seddio-Barozzi,16520.0
Durante Palladio,16502.0
Imelda Ubaldi,16491.0
Agnolo Cibin,16478.0
Leopoldo Zoppetto,16475.0
Michelangelo Borroni,16442.0
Sig.ra Bettina Iannuzzi,16437.0
Vittoria Bernini-Antonucci,16434.0
Leonardo Piazzi,16396.0
Ludovica Baggio-Canil,16387.0
Arsenio Ruffini,16290.0
Giovanna Mantegna-Grisoni,16283.0
Stefani Faggiani-Gentili,16264.0
Rocco Lollobrigida-Farinelli,16258.0
Marco Marenzio,16256.0
Baldassare Schiaparelli,16248.0
Uberto Trincavelli,16246.0
Sig. Arnulfo Pelli,16225.0
Sig.ra Greca Mengolo,16219.0
Maurizio Panatta,16214.0
Dott. Enzio Samele,16195.0
Virgilio Vecoli,16185.0
Raimondo Dossetti,16184.0
Fabrizio Romano-Cainero,16181.0
Ramona Bottaro,16179.0
Paloma Fantoni-Tamburini,16054.0
Mirko Boccioni-Lovato,16052.0
Vittoria Ficino,16006.0
Pasquale Busoni,16002.0
Benito Scarpetta,15993.0
Telemaco Cantimori-Fanucci,15981.0
Sig. Mauro Turrini,15973.0
Maria Scarfoglio,15968.0
Fiorino Monicelli,15927.0
Amico Calbo,15826.0
Gionata Caboto,15740.0
Gianfranco Antonello-Fo,15722.0
Giacomo Gori,15703.0
Dott. Pina Trentin,15674.0
Rosina Cafarchia,15668.0
Antonia Traversa,15659.0
Tina Surian,15640.0
Sole Lussu,15536.0
Vittoria Balbi,15531.0
Daria Tropea,15504.0
Dott. Rosina Salvemini,15498.0
Romeo Taliercio,15487.0
Fabio Finetti,15483.0
Giovanni Carfagna-Nitto,15481.0
Amico Mondaini,15477.0
Simonetta Magnani,15473.0
Lamberto Gregori,15439.0
Dott. Sonia Maderno,15429.0
Sig.ra Donna Barberini,15408.0
Isabella Trussardi,15400.0
Pasqual Traversa,15383.0
Orazio Sordi,15353.0
Danilo Zaccagnini,15347.0
Mirko Frescobaldi-Baglioni,15300.0
Ugolino Vismara-Barese,15270.0
Milena Spinola,15245.0
Giulietta Polesel,15231.0
Giacinto Ostinelli,15209.0
Dott. Lisa Zola,15193.0
Filippo Conti,15164.0
Camillo Bottigliero,15139.0
Ruggero Casale,15100.0
Hugo Belletini,15083.0
Augusto Silvestri,15070.0
Salvatore Boccaccio,14995.0
Uberto Dalla,14989.0
Sig.ra Donna Silvestri,14985.0
Nicoletta Grimani,14928.0
Sig. Lando Fantozzi,14910.0
Paolo Dovara-Bottaro,14874.0
Rodolfo Rizzo,14872.0
Fabrizia Taliercio-Traversa,14871.0
Loretta Mocenigo,14868.0
Sig.ra Milena Agostini,14830.0
Tiziano Scarlatti,14827.0
Sonia Barzini,14794.0
Nanni Tartaglia,14794.0
Valentina Bernetti-Rismondo,14777.0
Gioacchino Chechi,14772.0
Valentina Chiappetta,14771.0
Camilla Ferrata,14739.0
Gianna Cesaroni,14738.0
Salvatore Puglisi,14738.0
Raffaella Rensi,14737.0
Dott. Oreste Segni,14684.0
Vito Gagliano,14644.0
Fabia Respighi,14614.0
Licia Tosto-Gentilini,14588.0
Dott. Valeria Castellitto,14534.0
Dante Bataglia,14511.0
Massimo Zamorani,14478.0
Melina Tornatore-Mazzocchi,14468.0
Enzo Cerutti,14432.0
Mercedes Cilea-Berengario,14420.0
Sylvia Buscetta,14404.0
Lodovico Mantegazza,14403.0
Piersanti Boiardo,14381.0
Pina Fuseli,14336.0
Antonella Antonelli,14313.0
Ilaria Antelami,14306.0
Fabrizio Togliatti,14301.0
Sig.ra Sophia Taccola,14297.0
Nico Paoletti,14287.0
Rosa Ruffini,14273.0
Ciro Sobrero-Gianvecchio,14262.0
Michela Paltrinieri,14245.0
Atenulf Borroni,14136.0
Annalisa Acerbi-Samele,14131.0
Gaetano Scarlatti,14129.0
Giada Bettoni,14114.0
Renata Durante,14088.0
Lucia Fusani,14066.0
Hugo Giradello,14064.0
Silvio Panatta,14020.0
Salvatore Santoro,14015.0
Ramona Chigi,14010.0
Girolamo Perozzo,13986.0
Tina Salvini,13927.0
Dott. Uberto Ritacca,13915.0
Armando Scotti,13866.0
Sig. Lamberto Ferragamo,13846.0
Ciro Spinola-Guinizzelli,13807.0
Guido Argenti-Cimarosa,13804.0
Nanni Cociarelli,13797.0
Gelsomina Bernetti,13768.0
Raffaella Lupo-Bassi,13760.0
Dott. Martino Giorgetti,13737.0
Ugo Rosmini,13732.0
Tonino Monti,13722.0
Valeria Branciforte,13719.0
Gioffre Marazzi,13702.0
Mirco Caccioppoli,13695.0
Roberto Pisano,13692.0
Dott. Stefani Babbo,13685.0
Guglielmo Monicelli-Casellati,13685.0
Dott. Gianluca Petralli,13671.0
Ricciotti Marcacci-Boldù,13654.0
Mattia Mercati,13628.0
Maria Gori,13628.0
Gianluigi Paganini-Ricciardi,13569.0
Iolanda Polizzi,13563.0
Nedda Ferragni,13554.0
Mauro Soderini,13527.0
Ranieri Bonino,13525.0
Napoleone Maderna,13516.0
Dott. Loretta Magnani,13515.0
Dott. Angelina Lettiere,13502.0
Osvaldo Procacci-Caruso,13493.0
Guglielmo Agostinelli,13468.0
Graziella Scarpetta,13447.0
Flavia Calvo,13428.0
Sig.ra Diana Antelami,13426.0
Patrizia Boaga-Lollobrigida,13410.0
Marco Bompiani-Polesel,13399.0
Carmelo Fo,13363.0
Ferdinando Salata,13362.0
Teresa Falloppio,13348.0
Sabatino Pennetta-Callegari,13332.0
Giosuè Foà,13296.0
Mirco Druso,13267.0
Dott. Paloma Vanvitelli,13266.0
Lodovico Caracciolo,13253.0
Giulia Bianchini,13247.0
Giuseppina Proietti,13222.0
Dario Valier,13221.0
Marisa Quasimodo,13217.0
Cirillo Maggioli,13189.0
Sig.ra Loretta Cutuli,13184.0
Maurizio Bassi,13180.0
Livia Morgagni,13157.0
Adamo Norbiato,13132.0
Dino Scotti,13128.0
Letizia Doria-Mercati,13116.0
Costanzo Lettiere,13111.0
Atenulf Armellini,13105.0
Antonina Verri-Abate,13075.0
Concetta Donà,13070.0
Rosina Rossi,13029.0
Mirco Venier,13027.0
Valentina Musatti,13022.0
Vittoria Savorgnan,13006.0
Adele Pareto,13001.0
Torquato Pergolesi,12988.0
Osvaldo Caironi-Parpinel,12977.0
Mariano Luna,12911.0
Ennio Santorio-Aloisio,12905.0
Gastone Bompiani,12899.0
Giovanni Monti,12861.0
Rosalia Calgari,12838.0
Filippa Salata-Babbo,12834.0
Piersanti Detti,12825.0
Bettina Tarchetti-Flaiano,12817.0
Letizia Renault,12813.0
Gianfranco Bataglia,12779.0
Ludovica Gentili-Druso,12690.0
Dott. Antonia Pertini,12669.0
Napoleone Lombardi,12661.0
Giada Tassoni,12657.0
Arsenio Magrassi-Maccanelli,12631.0
Goffredo Carullo,12618.0
Sig. Gaspare Grisoni,12617.0
Donna Piccinni-Vittadello,12605.0
Sig.ra Raffaella Gonzaga,12604.0
Telemaco Collodi,12589.0
Ernesto Gabbana,12588.0
Dott. Nico Favata,12564.0
Camillo Toscani,12562.0
Gaspare Ziani,12556.0
Sole Tutino,12519.0
Raffaella Pisacane,12501.0
Paulina Ferretti,12492.0
Adriano Zaguri,12487.0
Evangelista Bruscantini-Esposito,12474.0
Marcella Chittolini,12474.0
Veronica Luzi,12472.0
Sig. Marcello Interiano,12471.0
Saverio Lombardi,12470.0
Giorgio Sommaruga,12466.0
Vanessa Perini,12442.0
Luciano Petralli,12419.0
Gianpaolo Querini,12414.0
Sig.ra Lina Zanichelli,12405.0
Dott. Angelina Florio,12351.0
Sig. Giovanni Canetta,12313.0
Graziella Nicolini,12266.0
Jolanda Roth,12266.0
Flora Dallapé,12230.0
Fabia Crisafulli-Morucci,12215.0
Dott. Ilaria Omma,12208.0
Stefania Bragaglia,12199.0
Alberico Chechi,12198.0
Mirko Leone-Pisano,12195.0
Livio Bernardini,12191.0
Raffaella Gulotta,12185.0
Baldassare Mercadante,12178.0
Ruggero Canil,12174.0
Vito Metella,12159.0
Sig.ra Simonetta Carfagna,12150.0
Agnolo Gravina,12146.0
Erika Ortolani,12105.0
Sig. Arturo Terragni,12104.0
Sole Corcos,12101.0
Sig.ra Marisa Faranda,12084.0
Maurizio Peano,12082.0
Pier Baresi-Iannotti,12070.0
Dott. Piermaria Toscanini,12069.0
Toni Sobrero,12067.0
Augusto Bottaro,12058.0
Puccio Bosio,12031.0
Dott. Galasso Bernetti,12029.0
Mattia Ariasso,12001.0
Filippa Bertoni,12000.0
Paoletta Garrone,11951.0
Giuseppina Borromini,11941.0
Paloma Navone,11929.0
Carla Leone,11918.0
Luigina Inzaghi,11914.0
Greca Giacometti,11910.0
Cecilia Nosiglia,11903.0
Germana Vezzali,11896.0
Sig.ra Adelasia Scarpa,11871.0
Azeglio Donatoni,11858.0
Salvi Benussi,11841.0
Dott. Susanna Perozzo,11832.0
Temistocle Corradi,11824.0
Fausto Baglioni,11817.0
Sante Murri,11812.0
Rosa Speri-Monicelli,11784.0
Gianni Sgalambro,11777.0
Adelasia Iadanza-Benussi,11748.0
Anita Meucci,11742.0
Lara Catalano,11726.0
